data	entrevistador	entrevistado	inicio_pergunta	fim_pergunta	inicio_resposta	fim_resposta	pergunta	resposta
2022-02-01	4	32	00:23:53	00:24:03	00:24:06	00:25:06	Agências reguladoras. Qual seria a função das agências reguladoras?	Excelência, as agências reguladoras, elas foram criadas em um contexto em que se promovia a delegação de serviços públicos. As agências reguladoras, elas são autarquias especiais, reconhecidas mediante, conferidas maior autonomia e tem a atribuição de fiscalizar e também de normatizar a realização de determinados serviços públicos, o que é chamado pela doutrina de descentralização técnica. Inclusive, de acordo com a autora Maria Silva de Pietra, há falar aqui em um fenômeno da deslegalização, na medida em que, mediante autorização legal, na criação das agências reguladoras, é possível que estas regulamentem determinados assuntos que exigem uma maior conformação e uma maior dinamicidade. Então há essa possibilidade, excelência.
2022-02-01	4	32	00:25:07	00:25:13	00:25:18	00:25:35	O município pode criar suas próprias agências reguladoras, suas próprias agências autarquias?	Excelência, pelo que me recordo, não há nenhum impeditivo que os municípios criem suas próprias autarquias e, consequentemente, tendo em vista a natureza de autarquia que se confere às agências reguladoras, acredito que há essa possibilidade, excelência.
2022-02-01	4	32	00:25:37	00:25:49	00:25:51	00:27:07	O Poder Judiciário pode afastar uma resolução editada por agência reguladora relacionada aos aspectos técnicos do segmento por ela regulado?	Excelência, conforme orientação doutrinária, é preciso que o Judiciário respeite o chamado mérito administrativo. Seria este um limite à atuação do Poder Judiciário, ressalvado o controle de juridicidade através de princípios, conforme concepção normativa de Conrad Hesse, que reconhece força normativa aos princípios constitucionais. Em relação ao mérito administrativo ou as normas técnicas produzidas pela agência reguladora, prevalece, inclusive, com decisões recentes do Supremo Tribunal Federal, que rechaçou a possibilidade de legislação contrariar normativas da Anvisa, reconhece, então, portanto, um limite à atuação do Judiciário, que deve respeitar, com base em consenso científico, o poder delegado a estas agências reguladoras. Inclusive, aqui, é possível falar na chamada, dentro dessa proteção ao mérito administrativo, a falar na chamada doutrina salve-melojuiz Schenneri, que protege as escolhas feitas pela administração pública realizadas com base em critérios técnicos, Excelência. Limitando, portanto, a atuação do Judiciário.
2022-02-01	12	32	00:27:33	00:29:53	00:29:55	00:31:21	Boa tarde a todos. Excelentíssimo Senhor Procurador-Geral, Doutor Jarba Soares, tenho o cumprimento dos demais presentes. Sem, não sem antes, a doação de um colega da UFR, pela organização brilhante deste certame, até o momento, com todo o esforço e toda a dedicação. Receba as nossas homenagens de todos os examinadores e aos demais colegas, especialmente do grupo, Professor Canedo, que foi examinador deste promotor de justiça. Minha profunda admiração e o meu colega, Doutor Marcelo. Então, muito boa tarde ao senhor candidato. Boa tarde, Excelência. Doutor Lucas. Só, mais um microfone. Eu vou fazer uma quantidade um pouco menor de perguntas, o senhor pode ter um pouco mais de liberdade na sua exposição, não vou fazer tantas perguntas em sequência. Vamos começar então, dentro dos temas desse ponto, um deles é a estrutura do tipo doloso, o senhor deve ter verificado, e eu quero fazer uma pergunta aqui em duas partes, o senhor, primeiro uma pergunta exclusivamente conceitual, e depois, a partir da sua resposta, eu vou fazer um segundo questionamento, tá bem? Então, o primeiro questionamento é bastante simples, gostaria que o senhor, a partir do conceito de dolo, o senhor esclarecesse as diferenças essenciais entre o dolo direto de primeiro e segundo grau, e no plano do dolo direto de segundo grau, gostaria que o senhor analisasse a respeito de se o agente precisa representar o resultado como centro seguro. Primeiramente então, uma simples separação entre as categorias, o dolo direto de primeiro e de segundo grau, e, posteriormente, a respeito da natureza da representação no plano do dolo direto de segundo grau.	Excelência, inicialmente, em relação ao dolo direto, também chamado dolo intencional, é aquele em que o agente, ele, há uma coincidência entre a sua representação e sua vontade e o resultado produzido. Portanto, no dolo direto, nada mais é que o agente que, utilizando-se como exemplo o artigo 121, quer matar, atira e mata a pessoa. Esse é o dolo direto de primeiro grau. O dolo direto de segundo grau, também chamado de dolo de consequências necessárias, é aquele dolo que o agente, ele não quer diretamente determinado resultado, e aí já abarcando a segunda pergunta, seria aquele dolo em que o agente, ele representa determinado resultado, que, caso ocorrido o resultado principal, necessariamente irá ocorrer. Então, é essa a noção de representação. Não é um resultado que obrigatoriamente irá ocorrer, mas sim o resultado que irá ocorrer com certeza, caso o resultado inicial ocorra. Seria, por exemplo, o exemplo em que o indivíduo, almejando matar determinado passageiro de avião, coloca uma bomba e, caso ocorra o resultado de explosão da bomba e a morte daquele passageiro, consequência necessária será a morte de outros passageiros, inicialmente não intencionados, porém consequência necessária daquele ato.
2022-02-01	12	32	00:31:21	00:31:43	00:31:43	00:31:58	Perfeito. Então, já partindo da sua resposta, que considero correta, eu adiantaria apenas uma especificação, que a princípio o senhor já apresentou, mas para verificar se é isso mesmo que o senhor entende. Então, no dolo de segunda grau, o sujeito não precisa representar o resultado colateral como seguro. Não precisa.	Excelência. No dolo de segundo grau, dolo de consequências necessárias, o indivíduo deve representar esse resultado não intencionado como seguro, caso ocorra o resultado inicialmente pensado.
2022-02-01	12	32	00:31:58	00:32:30	00:32:30	00:32:36	Então, suponhamos, no conhecido caso Thomas, que o sujeito coloca um dispositivo explosivo no navio, com o objetivo de explodir o navio quando o navio atingisse o cais, mas ele não tem segurança nem sobre se o dispositivo vai explodir e nem tampouco se ele vai explodir no cais quando os passageiros já desembarcaram. Ou seja, mas ele sabe que caso o dispositivo funcione, as vidas serão safadas. Esse seria então, na perspectiva do senhor, um caso de dolo direto de segundo grau.	Excelência, considerando de fato... O conceito que o senhor partiu. Isso, excelência.
2022-02-01	12	32	00:32:36	00:33:19	00:33:22	00:34:24	Você considera que esse seria um caso de dolo direto de segundo grau. Sim, excelência. Correto. Então, está ótimo. Vamos para uma outra pergunta. Ainda sobre o pré-efeito de imputação do dolo, no que se refere ao curso causal, o senhor considera que o curso causal é objeto de referência do dolo, ou seja, o dolo deve abranger o curso causal, ou se deve, em que sentido? Ou seja, deve abranger o curso causal de forma detalhada ou em seu aspecto geral?	Excelência, como regra, considerando que o dolo, dentro de uma concepção, pós-finalismo, enquanto se inserido dentro do fato típico, portanto dentro da conduta, e o nexo de causalidade, o resultado e a ativicidade são elementos do fato típico, entendo que, pelo menos inicialmente, por uma teoria da vontade, seria necessário que a consciência e vontade do indivíduo se desse não só em relação ao resultado, mas também em relação ao nexo de causalidade. Contudo, tendo em vista a possibilidade de se reconhecer dentro da berrácio causa e do próprio dolo geral, a ocorrência de determinado resultado, ainda que não tendo representado especificamente aquela causa, entendo que não haveria essa obrigatoriedade para responsabilização de representação específica do nexo de causalidade.
2022-02-01	12	32	00:34:24	00:35:07	00:35:07	00:35:26	Excelência. O senhor considera então que estaria satisfeita essa representação, desde que o desvio se inserisse no plano da imputação objetivo, ou seja, seria uma representação geral do nexo, nesse sentido, só complementando. O sujeito, por exemplo, quer matar alguém afogado e lança essa pessoa de cima de uma ponte, o objetivo é matar a pessoa por afogamento, mas a pessoa cai e colide com a pilastra e morre. Nessa hipótese, haveria um desvio do nexo causal que afastaria o dolo quanto ao resultado, e nós teríamos um crime tentado, ou seria um desvio causal irrelevante e o dolo estaria se referido ao resultado?	Excelência, a hipótese narrada é exemplo de erro de tipo acidental, caracterizando o que a doutrina chama de dolo geral, e portanto, não há responsabilização por tentativa, mas sim por crime consumado, justamente por essa aberrácia ou causa.
2022-02-01	12	32	00:35:26	00:35:39	00:35:39	00:36:14	Um pouquinho de parte especial, no que se refere ao crime de roubo, o senhor considera que a apreensão e perícia da arma de fogo é necessária para o reconhecimento da causa de aumento ou não?	Excelência, conforme o entendimento do Superior Tribunal de Justiça, não há necessidade de apreensão e realização de perícia para afirmar e caracterizar a majorante pela utilização da arma de fogo, salvo meu ajuízo, de dois terços atualmente. Contudo, caso haja apreensão dessa arma de fogo e se verifique que é absolutamente ineficaz, não seria possível, portanto, a utilização para majorar o crime, e, portanto, responderia apenas dentro da grave ameaça do artigo 157, tipo complexo normal.
2022-02-01	12	32	00:36:14	00:36:29	00:36:29	00:37:39	Vamos pensar, então, um pouquinho nos desdobramentos disso. Se, por exemplo, a apreensão e perícia não é necessária, que tipo de prova indireta que eu posso utilizar para efeito de confirmar que era uma arma de fogo verdadeira e eficaz?	Excelência, de acordo com o entendimento adotado pelo Superior Tribunal de Justiça, deve se valer o membro acusatório de testemunhas que tenham visualizado a ocorrência ou da própria vítima. Além disso, é possível também que o próprio acusado mencione em seu interrogatório que se valeu de arma de fogo. Contudo, em resumo, todas as provas são possíveis de ser utilizadas, desde que provas listas, naturalmente, para comprovar a utilização ou emprego de arma de fogo, como, por exemplo, eventuais apreensões de vídeos de câmeras ou testemunhas, como já mencionado. Contudo, caso não haja nenhum indício de utilização ou emprego dessa arma, aí sim seria o caso, até mesmo por uma questão de, em dúvida, PRO-REL, de não aplicação da majorante. Pois não. Apenas iria adicionar que, de fato, parece ocorrer aqui uma inversão, donos da prova, em relação à eficácia ou não da arma empregada.
2022-02-01	12	32	00:37:39	00:37:48	00:37:48	00:37:54	Se, por exemplo, houver apreensão em perícias e se verificar que era um simulacro, isso deve implicar na configuração da majorante ou não?	Não, Excelência. Se tratando de simulacro, incide a grave ameaça que é do tipo básico, fundamental.
2022-02-01	12	32	00:37:54	00:38:23	00:38:24	00:38:32	Existe algum julgado do Tribunal de Justiça de Minas Gerais que sabia a posição do senhor sobre isso, a partir da sua resposta? No sentido de que, uma vez que não é necessária a apreensão em perícias, ou seja, quase que invertendo o raciocínio, que me parece correto da resposta do senhor e do julgado do Superior Tribunal de Justiça, de que, como não é necessária a apreensão em perícias, o próprio simulacro seria suficiente para a configuração da majorante. Eu gostaria de saber se o senhor concorda com isso e, se o senhor não concorda, por que não?	Excelência, de fato, no caso concreto, caso o indivíduo empregue simulacro de arma de fogo e ele não seja apreendido, no plano concreto...
2022-02-01	12	32	00:38:32	00:38:51	00:38:52	00:39:01	Não, respondo que ele seja. A minha pergunta é, o Tribunal de Justiça de Minas Gerais, em alguns julgados recentes, decidiu que, mesmo o simulacro apreendido e comprovado, que se trata de um simulacro, há julgado do Tribunal de Justiça, no sentido de que isso configura a causa de aumento. O senhor considera que essa jurisprudência está correta?	Excelência, tendo sido apreendido o simulacro, comprovado que se trata de um simulacro, respeitosamente ao entendimento do tribunal, penso que não caracteriza a majorante.
2022-02-01	12	32	00:39:02	00:39:04	00:39:04	00:39:16	Qual é o argumento principal para não caracterizar?	Excelência, porque o tipo fundamental, o tipo complexo do artigo 157, ele já envolve a utilização de uma violência ou de uma grave ameaça e essa grave ameaça pode estar sendo exercida com o simulacro.
2022-02-01	12	32	00:39:16	00:39:18	00:39:18	00:39:19	Seria uma questão de legalidade estrita, então?	Entendo que sim, Excelência.
2022-02-01	12	32	00:39:25	00:39:57	00:39:57	00:40:19	Eu tenho mais uma questão. Para efeitos de julgamento do Tribunal do Júri, questão processual, caso haja a anulação do primeiro julgamento com fundamento na decisão manifestamente contrária à prova, 593, letra D, o que se entende por mesmo motivo para efeito de uma segunda anulação, se entende pelo mesmo motivo da decisão, seja ela absolutória ou condenatória, ou se entende por mesmo motivo o fundamento?	Excelência, o recurso de apelação do 593, a linha D, se trata, conforme a orientação doutrinária, de um recurso de fundamentação vinculada e o que ocorre, conforme doutrina majoritária, é que caso haja uma nova apelação com fundamento naquela linha, é que não será possível a nova interposição.
2022-02-01	12	32	00:40:19	00:40:23	00:40:23	00:40:29	Então, seria uma questão do fundamento legal e não do motivo, né?	Excelência, sim, fundamento legal, não importa se acusação ou defesa tenha interposto o recurso.
2022-02-01	1	32	00:41:06	00:42:14	00:42:15	00:42:46	Boa tarde a todas, boa tarde a todos. Saudar aí as colegas e os colegas da bancada, minha nossa colega Célia, que com tanta dedicação tem levado esse concurso a bom termo, aos colegas do Ministério Público, aos colegas presentes, saudação especial aos candidatos, boas-vindas a todos eles, e ao candidato, ao Lucas aí, ao Lucas aí, a qual eu terei uma pergunta muito rápida, à aguição do Dr. Marteleto, já me parece satisfatória, então é realmente, só para complementar aqui, os temas que ele abordou, acho que ficou faltando, talvez, só a exclusão de lei do instituto. Então, rapidamente aqui, só para falar, para nós completarmos aqui a lista dos pontos, o senhor, quando a gente fala em causa supra legal de exclusão da licitude, há que exemplos que o senhor pode me dar?	Excelência, além das excludentes de licitude previstas no artigo 23, Código Penal, legítima defesa, documento de dever legal, estado de necessidade e... Há ainda, de fato, a possibilidade de reconhecimento do consentimento do ofendido, desde que se trate de um crime envolvendo bens disponíveis, de se afirmar a existência de excludentes de licitude supra legal.
2022-02-01	1	32	00:42:46	00:42:50	00:42:50	00:43:23	Em qualquer circunstância, o consentimento exclui a licitude?	Não, excelência, em relação à possibilidade de exclusão da licitude, é necessário que se trate de bem jurídico envolvido disponível, que se trate também de um consentimento expresso. A doutrina, a jurisprudência já reconheceu, o STF, algumas hipóteses de consentimento do ofendido tácito. Contudo, quando o tipo penal incluir em seus elementos o dissenso da vítima, não haveria aqui, com consentimento, a exclusão da licitude, mas sim a exclusão da tipicidade, excelência.
2022-02-01	1	32	00:43:23	00:43:44	00:43:44	00:44:29	Sim, então vamos pensar um exemplo aí de consentimento que exclua a licitude e o outro que exclua a tipicidade. Porque o senhor disse que o bem tem que ser disponível. Bom, que critério nós temos para saber se o bem é disponível ou não?	Excelência, é possível utilizar como parâmetro de aferição de disponibilidade do bem o fato de ser aceitável perante a sociedade, por exemplo, fica mais concreto trabalhando com exemplos, o bem vida não seria disponível, mas por exemplo, no caso de um crime contra a honra, eventual injúria, o consentimento do ofendido poderia de fato excluir a licitude. Já um exemplo em que excluiria a tipicidade, seria por exemplo, a violação de correspondência alheia, porque exige que seja feita indevidamente. Então, caso haja o consentimento, não haveria tipicidade legal.
2022-02-01	1	32	00:44:29	00:44:34	00:44:34	00:44:37	A integridade física é um bem jurídico disponível?	Excelência, é...
2022-02-01	1	32	00:44:37	00:45:03	00:45:03	00:45:34	Se eu penso, por exemplo, relações sexuais sadomasoquistas, corrente, chicotada, etc., desconsentidas, isso caracterizaria um crime de lesão corporal? Ou o consentimento, desde que evidentemente haja capacidade de consentir, claro, excluiria a licitude?	Excelência, de fato, caso haja um consentimento esclarecido, informado, nesses casos, entendo que deve, inclusive o exemplo dado, entendo que deve se prezar pela autonomia da vítima que poderia sim dispor de sua integridade física, desde que não seja uma renúncia ao direito fundamental à integridade física, mas sim um mero não exercício, entendo que seria possível e funcionaria como excludente da licitude, desde que não seja vítima incapaz, como bem se alinha com a excelência.
2022-02-01	1	32	00:45:34	00:45:42	00:45:45	00:46:21	E aí, como interessa a gravidade das lesões? Perdão, excelência? Interessaria a gravidade das lesões?	Há sim a necessidade de se avaliar a intensidade das lesões, porque não pode caracterizar uma completa renúncia ao bem jurídico e integridade física. Portanto, há um limite, e há um limite que deve ser aferido casuisticamente, na medida em que não há doutrinariamente ou de legislata um critério estabelecido, e caberá ao julgador terceiro imparcial, ao analisar a situação concreta, aferir se o consentimento dado, no caso concreto, funciona ou não como excludente de licitude. Excelência?
2022-02-01	1	32	00:46:21	00:46:37	00:46:37	00:46:48	Então, para nós fecharmos aqui, é... E a liberdade? E a liberdade? É um bem jurídico disponível?	Excelência, é... Mais uma vez, em relação à liberdade, há necessidade de aferição no caso concreto. É possível ou não...
2022-02-01	1	32	00:46:48	00:47:25	00:47:25	00:47:51	Deixa eu tentar um caso concreto aqui para te facilitar. É... Eu voluntariamente me disponho a fazer parte de uma experiência da qual eu ficarei confinado em um local, voluntariamente, com cinto e abrigo, para que, sei lá, se estude o comportamento de uma pessoa confinada em um local muito pequeno. Então, eles me trancam lá e lá eu fico. É... Em tese, poderia ser um crime de cárcere privado? É crime de cárcere privado?	Excelência, na hipótese narrada, não há crime de cárcere privado, tendo em vista que, de fato, o consentimento da vítima retira o constrangimento, o dissenso exigido pelo tipo penal mencionado, em que, pese a doutrina e a que há de se destacar, que parte da doutrina entende como um direito absoluto o direito de não ser escravizado, o que seria uma hipótese totalmente diversa, Excelência.
2022-02-01	1	32	00:47:51	00:47:56	00:47:56	00:47:58	Finalmente, pode haver consentimento por imprudência?	Perdão, Excelência, poderia repetir por gentileza?
